categories,NumofOper,NumofIpo,NumofAcq,NumofClosed
 Software ,4557,97,658,298
 Biotechnology ,3210,440,290,170
Others,2576,14,117,50
 E-Commerce ,1911,38,139,121
 Mobile ,1883,42,252,171
 Curated Web ,1209,26,242,301
 Enterprise Software ,1140,26,238,61
 Clean Technology ,1109,49,77,87
 Games ,1054,27,123,147
 Health and Wellness ,1051,27,55,25
 Health Care ,1041,68,74,51
 Education ,1013,8,48,25
 Advertising ,975,21,167,105
 Hardware + Software ,966,48,98,71
 Finance ,897,26,81,52
 Social Media ,851,3,77,119
 Manufacturing ,809,28,35,19
 Analytics ,651,6,86,24
 Apps ,546,0,15,9
 Real Estate ,526,10,17,7
